business_id,name,website,review_count,stars,latitude,longitude,address,city,state,postal_code,categories
A0saPXtRGKl-SVJGQyQAOw,Brooklyn Chop House,https://www.yelp.com/biz/brooklyn-chop-house-new-york-3?adjust_creative=mOvLaDpE4mdRLtHvvM6tbw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=mOvLaDpE4mdRLtHvvM6tbw,504,4.0,40.711509899999996,-74.00596999999999,"['150 Nassau St', 'New York, NY 10038']",New York,NY,10038,"[{'alias': 'dimsum', 'title': 'Dim Sum'}, {'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]"
56qlj1cYlqNzmG0xllGg-w,Westville Dumbo,https://www.yelp.com/biz/westville-dumbo-brooklyn?adjust_creative=mOvLaDpE4mdRLtHvvM6tbw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=mOvLaDpE4mdRLtHvvM6tbw,305,4.0,40.701796934008605,-73.9896315336227,"['81 Washington St', 'Brooklyn, NY 11201']",Brooklyn,NY,11201,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'comfortfood', 'title': 'Comfort Food'}]"
L7_siqDfU4-ZA17YtA-SBg,Silver Factory,https://www.yelp.com/biz/silver-factory-brooklyn?adjust_creative=mOvLaDpE4mdRLtHvvM6tbw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=mOvLaDpE4mdRLtHvvM6tbw,200,4.5,40.709227,-73.958598,"['270 South 5th St', 'Brooklyn, NY 11211']",Brooklyn,NY,11211,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'bars', 'title': 'Bars'}]"
4aF0F8w7yXX9o5_QFky_ig,Celestine,https://www.yelp.com/biz/celestine-brooklyn?adjust_creative=mOvLaDpE4mdRLtHvvM6tbw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=mOvLaDpE4mdRLtHvvM6tbw,224,4.0,40.704676,-73.987975,"['1 John St', 'Brooklyn, NY 11201']",Brooklyn,NY,11201,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'bars', 'title': 'Bars'}]"
ONQRhDuWv0e9R5xOiI7YAA,Gyu-Kaku Japanese BBQ,https://www.yelp.com/biz/gyu-kaku-japanese-bbq-new-york-3?adjust_creative=mOvLaDpE4mdRLtHvvM6tbw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=mOvLaDpE4mdRLtHvvM6tbw,1238,4.0,40.75908,-73.98989,"['321 W 44th St', 'Unit 103', 'New York, NY 10036']",New York,NY,10036,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]"
ur679FKjXosJ1VnddICDiw,Don Wagyu,https://www.yelp.com/biz/don-wagyu-new-york?adjust_creative=mOvLaDpE4mdRLtHvvM6tbw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=mOvLaDpE4mdRLtHvvM6tbw,52,4.0,40.76234,-73.996759,"['600 11th Ave', 'Gotham West Market', 'New York, NY 10036']",New York,NY,10036,"[{'alias': 'japanese', 'title': 'Japanese'}]"
k5bGHJbAXDw9g_uP42QqDw,The Highwater,https://www.yelp.com/biz/the-highwater-astoria?adjust_creative=mOvLaDpE4mdRLtHvvM6tbw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=mOvLaDpE4mdRLtHvvM6tbw,384,4.0,40.760329999999996,-73.92245,"['3420 Broadway', 'Astoria, NY 11106']",Astoria,NY,11106,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'hawaiian', 'title': 'Hawaiian'}, {'alias': 'tikibars', 'title': 'Tiki Bars'}]"
DoSU8IPq-Py_YV3kYmXPfQ,Trattoria Trecolori,https://www.yelp.com/biz/trattoria-trecolori-new-york?adjust_creative=mOvLaDpE4mdRLtHvvM6tbw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=mOvLaDpE4mdRLtHvvM6tbw,2348,4.0,40.75998,-73.98671,"['254 West 47th St', 'New York, NY 10036']",New York,NY,10036,"[{'alias': 'italian', 'title': 'Italian'}]"
BKMCAYb9EAivUm3p-vrC9w,Khe-Yo,https://www.yelp.com/biz/khe-yo-new-york?adjust_creative=mOvLaDpE4mdRLtHvvM6tbw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=mOvLaDpE4mdRLtHvvM6tbw,773,4.0,40.716906,-74.008587,"['157 Duane St', 'New York, NY 10013']",New York,NY,10013,"[{'alias': 'laotian', 'title': 'Laotian'}]"
4UxmxAqehEIh7fYrzUEA7A,Tacovision,https://www.yelp.com/biz/tacovision-new-york?adjust_creative=mOvLaDpE4mdRLtHvvM6tbw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=mOvLaDpE4mdRLtHvvM6tbw,100,4.5,40.756820031115296,-73.9678929001093,"['244 E 53rd St', 'New York, NY 10004']",New York,NY,10004,"[{'alias': 'tacos', 'title': 'Tacos'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}]"
